Gred SSM,"Kadar 
"
AA19,115
AA22,115
AA48,140
AL54,190
BA19,115
BA21,115
BA22,115
BA29,120
BA41,125
CA19,115
CA41,125
DV19,115
DV29,120
DV38,120
EA22,115
EA29,120
EA41,125
FA29,120
FA32,120
FA41,125
FT19,115
GA19,115
GA22,115
GA26,115
GA29,120
GA41,125
GA44,125
GV52,175
HA19,115
HA22,115
HA26,115
JA17,110
JA19,115
JA22,115
JA26,115
JA29,120
JA36,120
JA38,120
JA41,125
JA44,125
JA48,140
JA52,175
KP19,115
KP22,115
KP26,115
KP29,120
KP32,120
KP41,125
LA29,120
LA41,125
LA48,140
LA52,175
NA17,110
NA19,115
NA22,115
NA26,115
NA29,120
NA30,120
NA32,120
NA36,120
NA41,125
NA44,125
NA48,140
NA52,175
NA54,190
NT19,115
NT22,115
NT26,115
NT29,120
NT32,120
QA19,115
QA29,120
SA19,115
SA27,
SA29,120
SA32,120
SA41,125
SA44,125
SA48,140
SA52,175
UA29,120
UA32,120
VU02,225
VU03,225
VU04,225
VU05,225
VU06,195
VU07,195
VU5,225
VU6,195
VU7,195
WA19,115
WA22,115
WA29,120
WA32,120
WA36,120
WA41,125
WA44,125
WA48,140
WA54,190
WK32,120
